ticker,currency,company_name,exchange,exchange_short,timezone
ENB,USD,Enbridge Inc.,New York Stock Exchange,NYSE,America/New_York
EVR,USD,Evercore Inc.,New York Stock Exchange,NYSE,America/New_York
EXPR,USD,"Express, Inc.",New York Stock Exchange,NYSE,America/New_York
FLNG,USD,Flex LNG Ltd.,New York Stock Exchange,NYSE,America/New_York
IT,USD,"Gartner, Inc.",New York Stock Exchange,NYSE,America/New_York
GG,USD,Goldcorp Inc.,New York Stock Exchange,NYSE,America/New_York
HCR,USD,Hi-Crush Inc.,New York Stock Exchange,NYSE,America/New_York
HUBS,USD,"HubSpot, Inc.",New York Stock Exchange,NYSE,America/New_York
IDA,USD,"IDACORP, Inc.",New York Stock Exchange,NYSE,America/New_York
I,USD,Intelsat S.A.,New York Stock Exchange,NYSE,America/New_York
JMP,USD,JMP Group LLC,New York Stock Exchange,NYSE,America/New_York
MMS,USD,"MAXIMUS, Inc.",New York Stock Exchange,NYSE,America/New_York
MDT,USD,Medtronic plc,New York Stock Exchange,NYSE,America/New_York
MTOR,USD,"Meritor, Inc.",New York Stock Exchange,NYSE,America/New_York
MET,USD,"MetLife, Inc.",New York Stock Exchange,NYSE,America/New_York
MODN,USD,"Model N, Inc.",New York Stock Exchange,NYSE,America/New_York
CTEST,USD,NYSE Test One,New York Stock Exchange,NYSE,America/New_York
NI,USD,NiSource Inc.,New York Stock Exchange,NYSE,America/New_York
OGS,USD,"ONE Gas, Inc.",New York Stock Exchange,NYSE,America/New_York
OC,USD,Owens Corning,New York Stock Exchange,NYSE,America/New_York
PCM,USD,PCM Fund Inc.,New York Stock Exchange,NYSE,America/New_York
AGS,USD,"PlayAGS, Inc.",New York Stock Exchange,NYSE,America/New_York
PX,USD,"Praxair, Inc.",New York Stock Exchange,NYSE,America/New_York
NEW,USD,Puxin Limited,New York Stock Exchange,NYSE,America/New_York
RYN,USD,Rayonier Inc.,New York Stock Exchange,NYSE,America/New_York
RHT,USD,"Red Hat, Inc.",New York Stock Exchange,NYSE,America/New_York
ROL,USD,"Rollins, Inc.",New York Stock Exchange,NYSE,America/New_York
SAFE,USD,Safehold Inc.,New York Stock Exchange,NYSE,America/New_York
SSL,USD,Sasol Limited,New York Stock Exchange,NYSE,America/New_York
SRE,USD,Sempra Energy,New York Stock Exchange,NYSE,America/New_York
SRT,USD,"StarTek, Inc.",New York Stock Exchange,NYSE,America/New_York
SYX,USD,Systemax Inc.,New York Stock Exchange,NYSE,America/New_York
TLRA,USD,"Telaria, Inc.",New York Stock Exchange,NYSE,America/New_York
GPS,USD,"The Gap, Inc.",New York Stock Exchange,NYSE,America/New_York
TIF,USD,Tiffany & Co.,New York Stock Exchange,NYSE,America/New_York
TLYS,USD,"Tilly's, Inc.",New York Stock Exchange,NYSE,America/New_York
TWTR,USD,"Twitter, Inc.",New York Stock Exchange,NYSE,America/New_York
UI,USD,Ubiquiti Inc.,New York Stock Exchange,NYSE,America/New_York
UN,USD,Unilever N.V.,New York Stock Exchange,NYSE,America/New_York
VEC,USD,"Vectrus, Inc.",New York Stock Exchange,NYSE,America/New_York
VNE,USD,"Veoneer, Inc.",New York Stock Exchange,NYSE,America/New_York
WBT,USD,"Welbilt, Inc.",New York Stock Exchange,NYSE,America/New_York
WIT,USD,Wipro Limited,New York Stock Exchange,NYSE,America/New_York
XOXO,USD,XO Group Inc.,New York Stock Exchange,NYSE,America/New_York
YRD,USD,Yirendai Ltd.,New York Stock Exchange,NYSE,America/New_York
ZEN,USD,"Zendesk, Inc.",New York Stock Exchange,NYSE,America/New_York
AGRO,USD,Adecoagro S.A.,New York Stock Exchange,NYSE,America/New_York
AMRC,USD,"Ameresco, Inc.",New York Stock Exchange,NYSE,America/New_York
AQ,USD,Aquantia Corp.,New York Stock Exchange,NYSE,America/New_York
AROC,USD,"Archrock, Inc.",New York Stock Exchange,NYSE,America/New_York
AIZP,USD,"Assurant, Inc.",New York Stock Exchange,NYSE,America/New_York
AIZ,USD,"Assurant, Inc.",New York Stock Exchange,NYSE,America/New_York
AZO,USD,"AutoZone, Inc.",New York Stock Exchange,NYSE,America/New_York
AGR,USD,"Avangrid, Inc.",New York Stock Exchange,NYSE,America/New_York
BCH,USD,Banco de Chile,New York Stock Exchange,NYSE,America/New_York
BIG,USD,"Big Lots, Inc.",New York Stock Exchange,NYSE,America/New_York
CIT,USD,CIT Group Inc.,New York Stock Exchange,NYSE,America/New_York
CRCM,USD,"Care.com, Inc.",New York Stock Exchange,NYSE,America/New_York
CRI,USD,"Carter's, Inc.",New York Stock Exchange,NYSE,America/New_York
CTLT,USD,"Catalent, Inc.",New York Stock Exchange,NYSE,America/New_York
CLS,USD,Celestica Inc.,New York Stock Exchange,NYSE,America/New_York
C,USD,Citigroup Inc.,New York Stock Exchange,NYSE,America/New_York
CIA,USD,"Citizens, Inc.",New York Stock Exchange,NYSE,America/New_York
CLDR,USD,"Cloudera, Inc.",New York Stock Exchange,NYSE,America/New_York
COP,USD,ConocoPhillips,New York Stock Exchange,NYSE,America/New_York
CMRE,USD,Costamare Inc.,New York Stock Exchange,NYSE,America/New_York
BAP,USD,Credicorp Ltd.,New York Stock Exchange,NYSE,America/New_York
CRY,USD,"CryoLife, Inc.",New York Stock Exchange,NYSE,America/New_York
DWDP,USD,DowDuPont Inc.,New York Stock Exchange,NYSE,America/New_York
EPR,USD,EPR Properties,New York Stock Exchange,NYSE,America/New_York
EC,USD,Ecopetrol S.A.,New York Stock Exchange,NYSE,America/New_York
ERA,USD,Era Group Inc.,New York Stock Exchange,NYSE,America/New_York
FBP,USD,First BanCorp.,New York Stock Exchange,NYSE,America/New_York
