ticker,currency,company_name,exchange,exchange_short,timezone
AMRS,USD,"Amyris, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
APTI,USD,"Apptio, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
APTX,USD,Aptinyx Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
ARQL,USD,"ArQule, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
BCEL,USD,"Atreca, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
AVDR,USD,"Avedro, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
AXGN,USD,"AxoGen, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
CAMP,USD,CalAmp Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CLXT,USD,"Calyxt, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
CERC,USD,Cerecor Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CRNC,USD,Cerence Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CWBR,USD,"CohBar, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
CONN,USD,"Conn's, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
CPRT,USD,"Copart, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
CVAC,USD,CureVac N.V.,NASDAQ Stock Exchange,NASDAQ,America/New_York
CUTR,USD,"Cutera, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
DSKE,USD,"Daseke, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
DTSS,USD,Datasea Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
DXCM,USD,"DexCom, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
EZPW,USD,"EZCORP, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
EDRY,USD,EuroDry Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
EVGN,USD,Evogene Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
EOLS,USD,"Evolus, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
FAMI,USD,"Farmmi, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
FLLCW,USD,Fellazo Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
FLLCR,USD,Fellazo Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
FLLC,USD,Fellazo Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
FLLCU,USD,Fellazo Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
FISV,USD,"Fiserv, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
FLNT,USD,"Fluent, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
FRED,USD,"Fred's, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
GLPG,USD,Galapagos NV,NASDAQ Stock Exchange,NASDAQ,America/New_York
HAS,USD,"Hasbro, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
HYRE,USD,HyreCar Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
IBEX,USD,IBEX Limited,NASDAQ Stock Exchange,NASDAQ,America/New_York
PI,USD,"Impinj, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
IFRX,USD,InflaRx N.V.,NASDAQ Stock Exchange,NASDAQ,America/New_York
INGN,USD,"Inogen, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ITI,USD,"Iteris, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
JD,USD,"JD.com, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
LIVN,USD,LivaNova PLC,NASDAQ Stock Exchange,NASDAQ,America/New_York
MAT,USD,"Mattel, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
MCFE,USD,McAfee Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
MDGS,USD,Medigus Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
MOR,USD,MorphoSys AG,NASDAQ Stock Exchange,NASDAQ,America/New_York
MOXC,USD,"Moxian, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
NDAQ,USD,"Nasdaq, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
NTRA,USD,"Natera, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
NEON,USD,Neonode Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
NVCN,USD,Neovasc Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
NTAP,USD,"NetApp, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
NKTX,USD,"Nkarta, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
NOVT,USD,Novanta Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
NXTD,USD,"Nxt-ID, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
ORBC,USD,ORBCOMM Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
OCGN,USD,"Ocugen, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
OSPN,USD,OneSpan Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
PFSW,USD,"PFSweb, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
PLXS,USD,Plexus Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
PYPD,USD,PolyPid Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
QLYS,USD,"Qualys, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
RDNT,USD,"RadNet, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
RDWR,USD,Radware Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
RPD,USD,"Rapid7, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
REED,USD,"Reed's, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
RNET,USD,"RigNet, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
WORX,USD,SCWorx Corp.,NASDAQ Stock Exchange,NASDAQ,America/New_York
SILC,USD,Silicom Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
STNE,USD,StoneCo Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
STKL,USD,SunOpta Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
SYNT,USD,"Syntel, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
TAOP,USD,Taoping Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
TGEN,USD,Tecogen Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
TSRO,USD,"Tesaro, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
